# Context trajectories (TVD m below DF, NS/EW m from the package origin). STATUS: definitive = Equinor definitive survey; reconstructed = smooth path through official formation-pick coordinates
WELL,MD,TVD,NS,EW,STATUS
NO 15/9-17,926.7,926.6,392.4,3551.2,reconstructed
NO 15/9-17,950.3,950.3,392.5,3551.4,reconstructed
NO 15/9-17,974.0,974.0,392.7,3551.5,reconstructed
NO 15/9-17,997.7,997.6,392.9,3551.7,reconstructed
NO 15/9-17,1021.3,1021.3,393.1,3551.8,reconstructed
NO 15/9-17,1045.0,1045.0,393.2,3552.0,reconstructed
NO 15/9-17,1069.7,1069.7,393.4,3552.1,reconstructed
NO 15/9-17,1094.5,1094.4,393.6,3552.2,reconstructed
NO 15/9-17,1119.2,1119.2,393.8,3552.3,reconstructed
NO 15/9-17,1144.0,1143.9,394.0,3552.5,reconstructed
NO 15/9-17,1168.7,1168.7,394.2,3552.6,reconstructed
NO 15/9-17,1193.5,1193.4,394.4,3552.7,reconstructed
NO 15/9-17,1218.2,1218.2,394.6,3552.8,reconstructed
NO 15/9-17,1243.0,1242.9,394.7,3552.9,reconstructed
NO 15/9-17,1267.7,1267.6,394.9,3553.1,reconstructed
NO 15/9-17,1292.5,1292.4,395.1,3553.2,reconstructed
NO 15/9-17,1317.2,1317.1,395.3,3553.3,reconstructed
NO 15/9-17,1341.9,1341.9,395.4,3553.4,reconstructed
NO 15/9-17,1366.7,1366.6,395.6,3553.5,reconstructed
NO 15/9-17,1391.4,1391.4,395.8,3553.7,reconstructed
NO 15/9-17,1416.2,1416.1,396.0,3553.8,reconstructed
NO 15/9-17,1440.9,1440.8,396.1,3553.9,reconstructed
NO 15/9-17,1465.7,1465.6,396.3,3554.0,reconstructed
NO 15/9-17,1490.4,1490.3,396.5,3554.1,reconstructed
NO 15/9-17,1515.2,1515.1,396.7,3554.2,reconstructed
NO 15/9-17,1539.9,1539.8,396.8,3554.4,reconstructed
NO 15/9-17,1564.6,1564.6,397.0,3554.5,reconstructed
NO 15/9-17,1589.4,1589.3,397.2,3554.6,reconstructed
NO 15/9-17,1614.1,1614.0,397.4,3554.7,reconstructed
