# RECONSTRUCTED: 15/9-F-11 A definitive survey to 2585 m MD sidetrack point; below, a smooth path through the official Volve formation-pick coordinates (MD/TVD/E/N) of 15/9-F-11 B
MD,INC,AZI,TVD,NS,EW
2170.00,4.350,16.270,2069.26,-15.46,-469.34
2180.00,4.850,25.120,2079.22,-14.71,-469.06
2190.00,5.410,33.130,2089.18,-13.93,-468.62
2200.00,6.000,38.530,2099.13,-13.13,-468.04
2210.00,6.560,42.360,2109.07,-12.30,-467.33
2220.00,7.300,46.420,2119.00,-11.44,-466.48
2230.00,8.250,51.540,2128.91,-10.55,-465.46
2240.00,9.240,55.200,2138.79,-9.65,-464.24
2250.00,10.140,57.430,2148.65,-8.72,-462.84
2260.00,11.110,59.850,2158.48,-7.76,-461.26
2270.00,12.040,61.780,2168.27,-6.78,-459.51
2280.00,12.770,63.250,2178.04,-5.79,-457.60
2290.00,13.290,64.430,2187.78,-4.80,-455.58
2300.00,13.920,65.470,2197.50,-3.80,-453.45
2310.00,14.690,65.980,2207.19,-2.79,-451.20
2320.00,15.470,66.140,2216.85,-1.73,-448.82
2330.00,16.180,66.320,2226.47,-0.63,-446.32
2340.00,16.930,66.490,2236.06,0.51,-443.71
2350.00,17.720,66.960,2245.60,1.69,-440.98
2360.00,18.610,67.360,2255.10,2.90,-438.10
2370.00,19.520,67.720,2264.55,4.14,-435.08
2380.00,20.430,68.120,2273.95,5.43,-431.92
2390.00,21.250,68.320,2283.30,6.75,-428.61
2400.00,21.920,68.350,2292.60,8.10,-425.20
2410.00,22.610,68.540,2301.85,9.50,-421.67
2420.00,23.430,68.670,2311.05,10.92,-418.03
2430.00,24.360,68.720,2320.20,12.39,-414.26
2440.00,25.310,68.550,2329.27,13.92,-410.35
2450.00,26.290,68.140,2338.28,15.53,-406.30
2460.00,27.230,67.770,2347.20,17.22,-402.13
2470.00,28.230,67.350,2356.06,19.00,-397.83
2480.00,29.080,67.170,2364.83,20.85,-393.40
2490.00,30.080,67.260,2373.53,22.76,-388.85
2500.00,31.020,67.180,2382.14,24.73,-384.17
2510.00,31.640,67.350,2390.68,26.74,-379.37
2520.00,32.150,67.450,2399.17,28.77,-374.49
2530.00,32.870,67.450,2407.60,30.83,-369.53
2540.00,34.060,67.960,2415.95,32.92,-364.43
2550.00,35.360,68.340,2424.17,35.04,-359.14
2560.00,36.240,68.580,2432.28,37.19,-353.70
2570.00,36.930,68.780,2440.31,39.36,-348.15
2570.68,36.980,68.810,2440.85,39.50,-347.77
2580.00,37.358,68.970,2448.26,41.53,-342.49
2584.80,37.106,69.926,2452.08,42.55,-339.77
2589.60,37.096,70.831,2455.91,43.52,-337.05
2594.40,37.328,71.673,2459.73,44.45,-334.30
2599.20,37.800,72.439,2463.54,45.35,-331.51
2603.99,38.511,73.120,2467.32,46.23,-328.68
2608.79,39.461,73.712,2471.05,47.09,-325.79
2613.59,40.649,74.210,2474.72,47.94,-322.83
2618.39,42.075,74.614,2478.32,48.79,-319.78
2623.19,43.737,74.928,2481.83,49.65,-316.63
2628.17,43.943,74.992,2485.41,50.54,-313.31
2633.15,44.158,75.061,2488.97,51.43,-309.98
2638.13,44.380,75.136,2492.53,52.32,-306.63
2643.11,44.611,75.217,2496.07,53.21,-303.27
2648.09,44.850,75.303,2499.60,54.10,-299.89
2653.07,45.097,75.394,2503.11,54.99,-296.49
2658.05,45.353,75.490,2506.61,55.88,-293.08
2663.03,45.617,75.592,2510.10,56.76,-289.65
2668.02,45.889,75.698,2513.56,57.65,-286.20
2673.00,46.170,75.810,2517.02,58.53,-282.73
2677.98,46.459,75.926,2520.45,59.40,-279.24
2682.96,46.757,76.047,2523.87,60.28,-275.74
2687.94,47.063,76.173,2527.26,61.15,-272.21
2692.92,47.378,76.303,2530.64,62.02,-268.67
2697.90,47.702,76.438,2534.00,62.88,-265.10
2702.88,48.035,76.576,2537.33,63.74,-261.52
2707.86,48.376,76.720,2540.64,64.60,-257.91
2712.84,48.727,76.867,2543.93,65.45,-254.28
2717.82,49.086,77.018,2547.20,66.30,-250.64
2722.80,49.454,77.173,2550.44,67.14,-246.97
2727.78,49.832,77.333,2553.66,67.97,-243.28
2732.76,50.219,77.495,2556.85,68.80,-239.56
2737.74,50.614,77.662,2560.01,69.62,-235.83
2742.72,51.019,77.832,2563.15,70.44,-232.07
