# RECONSTRUCTED: smooth path through the official Volve formation-pick coordinates of 15/9-F-1 C (no public definitive survey)
MD,INC,AZI,TVD,NS,EW
1745.67,16.325,245.774,1712.70,20.57,-223.49
1755.62,16.283,245.755,1722.21,19.43,-226.03
1765.56,16.235,245.744,1731.73,18.29,-228.56
1775.51,16.183,245.740,1741.25,17.15,-231.08
1785.46,16.126,245.745,1750.77,16.02,-233.59
1795.40,16.063,245.757,1760.29,14.89,-236.10
1805.35,15.996,245.778,1769.81,13.77,-238.59
1815.30,15.923,245.807,1779.32,12.65,-241.07
1825.24,15.846,245.844,1788.84,11.54,-243.54
1835.19,15.763,245.890,1798.36,10.44,-246.00
1845.14,15.675,245.944,1807.88,9.35,-248.45
1855.08,15.583,246.007,1817.40,8.26,-250.88
1865.03,15.485,246.080,1826.92,7.19,-253.30
1874.98,15.382,246.162,1836.44,6.13,-255.70
1884.92,15.274,246.254,1845.97,5.07,-258.09
1894.87,15.160,246.356,1855.49,4.03,-260.46
1904.82,15.042,246.468,1865.01,3.00,-262.82
1914.76,14.919,246.591,1874.54,1.99,-265.16
1924.71,14.790,246.725,1884.06,0.99,-267.48
1934.66,14.657,246.870,1893.59,0.00,-269.78
1944.60,14.518,247.028,1903.11,-0.97,-272.06
1954.55,14.374,247.199,1912.64,-1.92,-274.32
1964.50,14.225,247.382,1922.17,-2.86,-276.56
1974.44,14.071,247.579,1931.70,-3.78,-278.78
1984.39,13.913,247.791,1941.23,-4.68,-280.98
1994.34,13.749,248.018,1950.76,-5.57,-283.15
2004.28,13.580,248.262,1960.29,-6.43,-285.30
2014.23,13.406,248.522,1969.83,-7.27,-287.43
2024.18,13.227,248.800,1979.36,-8.09,-289.53
2034.12,13.043,249.097,1988.90,-8.89,-291.61
2044.07,12.855,249.415,1998.44,-9.67,-293.66
2054.02,12.661,249.754,2007.98,-10.42,-295.68
2063.96,12.463,250.115,2017.52,-11.15,-297.68
2073.91,12.260,250.502,2027.06,-11.86,-299.65
2083.86,12.053,250.914,2036.61,-12.54,-301.59
2093.80,11.841,251.355,2046.15,-13.19,-303.50
2103.75,11.624,251.825,2055.70,-13.82,-305.38
2113.70,11.403,252.329,2065.25,-14.42,-307.23
2123.64,11.178,252.867,2074.80,-14.99,-309.05
2133.59,10.949,253.443,2084.36,-15.53,-310.84
2143.54,10.716,254.060,2093.91,-16.04,-312.60
2153.48,10.479,254.721,2103.47,-16.52,-314.32
2163.43,10.238,255.431,2113.03,-16.97,-316.01
2173.38,9.994,256.194,2122.59,-17.39,-317.66
2183.32,9.747,257.014,2132.15,-17.77,-319.28
2193.27,9.497,257.898,2141.72,-18.13,-320.86
2203.21,9.244,258.850,2151.28,-18.45,-322.41
2213.16,8.990,259.878,2160.85,-18.73,-323.92
2223.11,8.733,260.990,2170.43,-18.98,-325.39
2233.05,8.476,262.194,2180.00,-19.19,-326.82
2243.00,8.218,263.500,2189.58,-19.37,-328.22
2252.95,7.960,264.917,2199.16,-19.50,-329.57
2262.89,7.702,266.460,2208.74,-19.60,-330.89
2272.84,7.447,268.139,2218.32,-19.66,-332.16
2282.79,7.194,269.970,2227.91,-19.68,-333.39
2292.73,6.945,271.969,2237.50,-19.66,-334.58
2302.68,6.701,274.153,2247.09,-19.60,-335.72
2312.63,6.465,276.539,2256.69,-19.50,-336.83
2322.57,6.236,279.147,2266.29,-19.35,-337.89
2332.52,6.019,281.992,2275.89,-19.17,-338.90
2342.47,5.815,285.093,2285.49,-18.93,-339.87
2352.41,5.627,288.462,2295.10,-18.66,-340.79
2362.36,5.457,292.108,2304.71,-18.33,-341.66
2372.31,5.309,296.029,2314.32,-17.97,-342.49
2382.25,5.185,300.215,2323.93,-17.55,-343.27
2392.20,5.090,304.643,2333.55,-17.09,-344.00
2402.15,5.025,309.275,2343.18,-16.58,-344.68
2412.09,4.994,314.059,2352.80,-16.02,-345.31
2422.04,4.999,318.931,2362.43,-15.41,-345.89
2431.99,5.040,323.820,2372.06,-14.74,-346.41
2441.93,5.119,328.653,2381.70,-14.03,-346.89
2451.88,5.235,333.363,2391.34,-13.27,-347.31
2461.83,5.386,337.891,2400.98,-12.45,-347.68
2471.77,5.571,342.195,2410.62,-11.58,-347.99
2481.72,5.788,346.243,2420.27,-10.66,-348.26
2491.67,6.035,350.019,2429.93,-9.68,-348.46
2501.61,6.309,353.520,2439.58,-8.65,-348.61
2511.56,6.608,356.750,2449.24,-7.56,-348.70
2521.51,6.929,359.720,2458.91,-6.42,-348.74
2531.45,7.270,2.445,2468.58,-5.21,-348.71
2541.40,7.630,4.942,2478.25,-3.95,-348.63
2551.15,10.439,19.677,2487.84,-2.48,-348.27
2560.89,13.366,27.256,2497.33,-0.65,-347.46
2570.64,16.146,31.600,2506.71,1.50,-346.24
2580.38,18.685,34.286,2516.00,3.94,-344.64
2590.13,20.948,36.013,2525.19,6.65,-342.73
2599.88,22.922,37.129,2534.29,9.60,-340.54
2609.62,24.608,37.820,2543.30,12.75,-338.12
2619.37,26.009,38.192,2552.23,16.08,-335.52
2629.12,27.131,38.307,2561.07,19.55,-332.78
2638.86,27.981,38.197,2569.84,23.15,-329.94
2648.61,28.562,37.877,2578.53,26.83,-327.06
2658.35,28.879,37.346,2587.15,30.58,-324.17
2668.10,28.930,36.591,2595.70,34.35,-321.33
2678.04,29.263,36.519,2604.36,38.22,-318.46
2687.99,29.647,36.472,2613.01,42.15,-315.56
2697.93,30.082,36.450,2621.64,46.13,-312.61
2707.87,30.568,36.450,2630.24,50.18,-309.62
2717.81,31.107,36.473,2638.81,54.29,-306.58
2727.76,31.698,36.517,2647.33,58.47,-303.49
2737.70,32.342,36.580,2655.79,62.72,-300.34
2747.64,33.040,36.662,2664.19,67.05,-297.12
2757.59,33.792,36.762,2672.52,71.46,-293.84
2767.53,34.600,36.877,2680.77,75.94,-290.48
2777.47,35.464,37.007,2688.94,80.51,-287.04
2787.41,36.384,37.150,2697.00,85.18,-283.52
2797.36,37.363,37.306,2704.96,89.93,-279.91
2807.30,38.399,37.473,2712.80,94.78,-276.20
2817.24,39.495,37.650,2720.52,99.72,-272.40
2827.19,40.650,37.835,2728.11,104.77,-268.49
2837.13,41.864,38.028,2735.56,109.92,-264.48
2847.07,43.139,38.228,2742.86,115.18,-260.35
2857.01,44.473,38.433,2750.00,120.56,-256.10
2866.96,45.867,38.644,2756.98,126.04,-251.73
2876.90,47.319,38.858,2763.78,131.65,-247.23
2886.84,48.228,38.958,2770.39,137.32,-242.65
2896.78,49.115,39.054,2776.89,143.06,-238.00
2906.73,49.981,39.144,2783.28,148.87,-233.28
2916.67,50.825,39.230,2789.55,154.75,-228.49
2926.61,51.647,39.312,2795.71,160.70,-223.63
2936.55,52.447,39.390,2801.77,166.70,-218.70
2946.50,53.225,39.464,2807.72,172.77,-213.72
2956.44,53.982,39.534,2813.57,178.89,-208.67
2966.38,54.716,39.601,2819.32,185.07,-203.56
2976.32,55.428,39.665,2824.97,191.30,-198.40
2986.27,56.119,39.726,2830.53,197.59,-193.18
2996.21,56.788,39.784,2835.99,203.92,-187.91
3006.15,57.435,39.840,2841.36,210.30,-182.60
3016.09,58.061,39.893,2846.64,216.72,-177.23
3026.04,58.666,39.943,2851.84,223.19,-171.82
3035.98,59.250,39.991,2856.95,229.70,-166.37
3045.92,59.813,40.037,2861.97,236.24,-160.87
3055.86,60.356,40.080,2866.92,242.82,-155.34
3065.81,60.878,40.122,2871.79,249.43,-149.77
3075.75,61.379,40.161,2876.58,256.08,-144.17
3085.69,61.861,40.198,2881.30,262.75,-138.54
3095.63,62.323,40.234,2885.94,269.45,-132.87
3105.58,62.765,40.268,2890.52,276.17,-127.18
3115.52,63.187,40.300,2895.03,282.92,-121.46
3125.46,63.590,40.330,2899.47,289.68,-115.72
3135.40,63.974,40.359,2903.86,296.47,-109.96
3145.35,64.339,40.386,2908.18,303.27,-104.18
3155.29,64.685,40.411,2912.44,310.08,-98.38
3165.23,65.013,40.435,2916.65,316.90,-92.57
3175.17,65.321,40.458,2920.80,323.73,-86.75
3185.12,65.611,40.479,2924.90,330.57,-80.92
3195.06,65.883,40.498,2928.96,337.41,-75.08
3205.00,66.136,40.516,2932.96,344.25,-69.23
3214.05,75.026,41.219,2935.86,350.71,-63.62
3223.10,75.709,40.764,2938.05,357.35,-57.83
3226.30,77.867,40.491,2938.79,359.74,-55.78
3229.50,79.354,40.294,2939.42,362.15,-53.73
3239.30,79.909,40.136,2941.18,369.51,-47.51
3249.11,80.413,39.995,2942.86,376.89,-41.30
3258.91,80.868,39.870,2944.45,384.31,-35.09
3268.71,81.273,39.762,2945.97,391.75,-28.89
3278.52,81.627,39.670,2947.43,399.20,-22.70
3288.32,81.932,39.594,2948.83,406.68,-16.51
3298.12,82.187,39.534,2950.18,414.17,-10.32
3307.93,82.392,39.491,2951.50,421.67,-4.14
3317.73,82.548,39.463,2952.78,429.17,2.05
3327.54,82.653,39.451,2954.04,436.69,8.23
3337.34,82.709,39.455,2955.29,444.20,14.42
3347.14,82.715,39.476,2956.54,451.72,20.60
3356.95,82.672,39.512,2957.79,459.23,26.79
3366.75,82.579,39.564,2959.04,466.73,32.99
3376.55,82.436,39.632,2960.32,474.23,39.19
3386.36,82.244,39.716,2961.63,481.71,45.39
3396.16,82.001,39.816,2962.97,489.17,51.60
3405.96,81.709,39.932,2964.36,496.62,57.82
3415.77,81.367,40.065,2965.80,504.04,64.05
3425.57,80.975,40.214,2967.30,511.44,70.29
3435.38,80.532,40.380,2968.87,518.81,76.54
3445.18,80.040,40.563,2970.53,526.15,82.80
3454.98,79.497,40.762,2972.26,533.45,89.07
3464.79,78.905,40.979,2974.09,540.72,95.36
3474.59,78.263,41.213,2976.03,547.94,101.66
3484.39,77.572,41.465,2978.08,555.13,107.98
3494.20,76.831,41.735,2980.24,562.26,114.32
3504.00,76.041,42.022,2982.54,569.35,120.67
3513.99,75.555,41.972,2984.98,576.52,127.13
3523.98,75.086,41.936,2987.51,583.68,133.56
3533.97,74.637,41.915,2990.11,590.83,139.98
3543.97,74.206,41.908,2992.78,597.97,146.39
3553.96,73.793,41.916,2995.52,605.09,152.78
3563.95,73.399,41.939,2998.34,612.20,159.17
3573.94,73.024,41.977,3001.21,619.29,165.54
3583.93,72.667,42.029,3004.15,626.37,171.91
3593.92,72.329,42.097,3007.15,633.42,178.28
3603.91,72.010,42.180,3010.20,640.46,184.65
3613.91,71.708,42.277,3013.31,647.47,191.01
3623.90,71.426,42.390,3016.46,654.47,197.38
3633.89,71.162,42.518,3019.66,661.44,203.76
3643.88,70.916,42.662,3022.90,668.38,210.14
3653.87,70.689,42.820,3026.18,675.30,216.53
3663.86,70.481,42.994,3029.49,682.19,222.94
3673.85,70.291,43.183,3032.84,689.05,229.36
3683.85,70.120,43.388,3036.22,695.88,235.79
3693.84,69.968,43.608,3039.63,702.69,242.25
3703.83,69.834,43.843,3043.06,709.46,248.72
3713.82,69.719,44.093,3046.50,716.19,255.22
3723.81,69.622,44.359,3049.97,722.90,261.75
3733.80,69.545,44.640,3053.45,729.56,268.30
3743.79,69.486,44.936,3056.94,736.19,274.88
3753.79,69.447,45.248,3060.44,742.79,281.49
3763.78,69.426,45.574,3063.94,749.34,288.14
3773.77,69.425,45.916,3067.44,755.85,294.82
3783.76,69.443,46.272,3070.94,762.32,301.54
3793.75,69.480,46.643,3074.44,768.75,308.31
3803.74,69.537,47.029,3077.93,775.13,315.11
3813.73,69.614,47.429,3081.40,781.47,321.97
3823.73,69.710,47.843,3084.87,787.76,328.86
3833.72,69.826,48.272,3088.31,794.01,335.81
3843.71,69.962,48.715,3091.73,800.20,342.81
3853.70,70.118,49.171,3095.13,806.35,349.87
3863.09,69.895,50.402,3098.34,812.04,356.60
3872.47,69.701,51.516,3101.58,817.58,363.44
3881.86,69.534,52.511,3104.84,822.99,370.36
3891.25,69.392,53.385,3108.13,828.28,377.37
3900.64,69.274,54.139,3111.44,833.47,384.45
3910.03,69.177,54.770,3114.77,838.56,391.59
3919.41,69.101,55.279,3118.11,843.59,398.78
3928.80,69.044,55.666,3121.47,848.56,406.01
3938.19,69.006,55.931,3124.83,853.49,413.27
3947.57,68.986,56.074,3128.20,858.40,420.54
3956.96,68.983,56.094,3131.57,863.29,427.83
3966.35,68.997,55.992,3134.94,868.19,435.10
3975.74,69.030,55.768,3138.31,873.11,442.37
3985.12,69.080,55.422,3141.67,878.07,449.61
3994.51,69.150,54.953,3145.02,883.08,456.81
4003.90,69.239,54.363,3148.35,888.15,463.97
4093.90,69.239,54.363,3180.25,937.18,532.37
